epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.5424,1.62984,1.42462,1.2938,0.74292,0.61674,0.68523,0.32138,1.83508,1.02813,1.24964,0.000415404,0.000415404,0.000415404
2,47.5053,1.48229,1.00275,1.20923,0.71059,0.61518,0.67553,0.34256,1.68844,0.96862,1.17594,0.000823833,0.000823833,0.000823833
3,69.1424,1.4675,0.97134,1.20478,0.78938,0.64669,0.72838,0.34034,1.79506,0.9613,1.24134,0.00122401,0.00122401,0.00122401
4,90.308,1.43869,0.94159,1.18473,0.76538,0.62127,0.69333,0.37084,1.48989,0.92975,1.09273,0.00121287,0.00121287,0.00121287
5,111.572,1.39657,0.89191,1.16904,0.78639,0.69299,0.75981,0.43852,1.43189,0.78728,1.0751,0.0012005,0.0012005,0.0012005
6,132.879,1.3635,0.86602,1.1562,0.79693,0.69561,0.7794,0.46267,1.36779,0.75721,1.05367,0.00118812,0.00118812,0.00118812
7,154.268,1.34518,0.84353,1.15266,0.81525,0.69889,0.77559,0.49029,1.21161,0.74971,1.01145,0.00117575,0.00117575,0.00117575
8,175.689,1.30661,0.81262,1.13182,0.8168,0.69723,0.77721,0.49054,1.18433,0.74014,0.99744,0.00116337,0.00116337,0.00116337
9,197.141,1.2844,0.80035,1.13019,0.82652,0.71632,0.79866,0.43747,1.55661,0.75413,1.12546,0.001151,0.001151,0.001151
10,218.652,1.2933,0.79094,1.12373,0.82667,0.72413,0.80606,0.4901,1.32089,0.70115,1.04334,0.00113863,0.00113863,0.00113863
11,240.386,1.28747,0.77572,1.11669,0.83535,0.70935,0.80835,0.5105,1.21499,0.68922,1.01673,0.00112625,0.00112625,0.00112625
12,261.919,1.2443,0.7666,1.10375,0.82934,0.74402,0.82038,0.48747,1.36199,0.69243,1.04244,0.00111388,0.00111388,0.00111388
13,283.443,1.24467,0.75668,1.10141,0.81644,0.72127,0.7996,0.51702,1.15553,0.69009,0.98572,0.0011015,0.0011015,0.0011015
14,304.999,1.21782,0.74091,1.08727,0.85305,0.72389,0.82387,0.52662,1.20908,0.65014,1.00774,0.00108913,0.00108913,0.00108913
15,326.613,1.22274,0.73438,1.08974,0.85736,0.74573,0.8342,0.51458,1.31093,0.6601,1.01862,0.00107675,0.00107675,0.00107675
16,348.156,1.19052,0.71672,1.07707,0.84612,0.73123,0.83174,0.54114,1.14182,0.62985,0.99334,0.00106437,0.00106437,0.00106437
17,369.894,1.18478,0.71562,1.08369,0.83321,0.72306,0.82389,0.53717,1.12464,0.65212,0.97358,0.001052,0.001052,0.001052
18,391.508,1.18201,0.70523,1.07089,0.8309,0.73475,0.81998,0.52264,1.20219,0.66119,1.00038,0.00103962,0.00103962,0.00103962
19,413.31,1.1679,0.70615,1.06627,0.83261,0.76609,0.8411,0.53987,1.1778,0.62284,0.98084,0.00102725,0.00102725,0.00102725
20,434.944,1.15177,0.6944,1.06725,0.85738,0.76464,0.84969,0.58658,1.02875,0.58764,0.95616,0.00101488,0.00101488,0.00101488
21,456.691,1.14783,0.68552,1.0651,0.85914,0.7436,0.8439,0.58225,1.04784,0.60298,0.96028,0.0010025,0.0010025,0.0010025
22,478.483,1.13872,0.67334,1.06072,0.86344,0.7586,0.849,0.58977,1.00791,0.6262,0.94532,0.000990125,0.000990125,0.000990125
23,500.422,1.13358,0.67283,1.05675,0.84101,0.7285,0.82933,0.57243,1.02158,0.60096,0.94393,0.00097775,0.00097775,0.00097775
24,522.137,1.12926,0.66312,1.05193,0.84011,0.77649,0.85272,0.5869,1.04329,0.58307,0.95031,0.000965375,0.000965375,0.000965375
25,543.93,1.11127,0.65833,1.04504,0.87641,0.77786,0.86284,0.57133,1.13001,0.59602,0.97366,0.000953,0.000953,0.000953
26,565.709,1.11141,0.66153,1.05294,0.85638,0.78177,0.86124,0.58047,1.09242,0.58531,0.96544,0.000940625,0.000940625,0.000940625
27,587.556,1.09975,0.64835,1.03671,0.87998,0.7625,0.85488,0.58965,1.01475,0.5713,0.94828,0.00092825,0.00092825,0.00092825
28,609.224,1.10586,0.64021,1.04375,0.86978,0.77626,0.85932,0.58365,1.0672,0.57725,0.96133,0.000915875,0.000915875,0.000915875
29,631.036,1.08896,0.6448,1.0374,0.87479,0.76287,0.85725,0.5927,1.01903,0.57659,0.93981,0.0009035,0.0009035,0.0009035
30,652.896,1.08941,0.64348,1.03456,0.86558,0.77758,0.86223,0.61006,0.98444,0.54408,0.93483,0.000891125,0.000891125,0.000891125
31,674.939,1.0789,0.62984,1.02672,0.86542,0.76766,0.85926,0.59292,1.05155,0.56548,0.94463,0.00087875,0.00087875,0.00087875
32,696.675,1.07855,0.63533,1.03603,0.86864,0.77511,0.85823,0.592,1.0238,0.56289,0.95009,0.000866375,0.000866375,0.000866375
33,718.384,1.06381,0.62287,1.02619,0.8762,0.78815,0.87291,0.60383,1.02205,0.54404,0.94214,0.000854,0.000854,0.000854
34,740.312,1.06539,0.62644,1.03286,0.88581,0.77991,0.87457,0.61689,1.00173,0.54167,0.94342,0.000841625,0.000841625,0.000841625
35,762.237,1.06003,0.61177,1.02465,0.87485,0.79762,0.87713,0.61508,1.00567,0.52528,0.94063,0.00082925,0.00082925,0.00082925
36,784.081,1.05655,0.61864,1.02437,0.87485,0.79356,0.8763,0.62094,0.99174,0.532,0.93562,0.000816875,0.000816875,0.000816875
37,806.031,1.04141,0.60975,1.01766,0.87806,0.79172,0.8741,0.62084,0.96709,0.52318,0.9304,0.0008045,0.0008045,0.0008045
38,827.91,1.04056,0.6041,1.01913,0.88429,0.78604,0.87716,0.62389,0.97815,0.52632,0.93366,0.000792125,0.000792125,0.000792125
39,849.925,1.04043,0.59822,1.01769,0.87062,0.78785,0.86993,0.61905,0.98628,0.5397,0.92955,0.00077975,0.00077975,0.00077975
40,871.974,1.03831,0.60266,1.01817,0.8911,0.7955,0.88167,0.63684,0.93603,0.51235,0.92089,0.000767375,0.000767375,0.000767375
